problem_idx,description,type,gold,question,question_orig,options,solved
64,JEE Adv 2018 Paper 1,Numeric,4,"A farmer $F_{1}$ has a land in the shape of a triangle with vertices at $P(0,0), Q(1,1)$ and $R(2,0)$. From this land, a neighbouring farmer $F_{2}$ takes away the region which lies between the side $P Q$ and a curve of the form $y=x^{n}(n>1)$. If the area of the region taken away by the farmer $F_{2}$ is exactly $30 \%$ of the area of $\triangle P Q R$, then what is the value of $n$?","A farmer $F_{1}$ has a land in the shape of a triangle with vertices at $P(0,0), Q(1,1)$ and $R(2,0)$. From this land, a neighbouring farmer $F_{2}$ takes away the region which lies between the side $P Q$ and a curve of the form $y=x^{n}(n>1)$. If the area of the region taken away by the farmer $F_{2}$ is exactly $30 \%$ of the area of $\triangle P Q R$, then what is the value of $n$?",,no
65,JEE Adv 2018 Paper 2,MCQ(multiple),D,"For any positive integer $n$, define $f_{n}:(0, \infty) \rightarrow \mathbb{R}$ as

\[
f_{n}(x)=\sum_{j=1}^{n} \tan ^{-1}\left(\frac{1}{1+(x+j)(x+j-1)}\right) \text { for all } x \in(0, \infty)
\]

(Here, the inverse trigonometric function $\tan ^{-1} x$ assumes values in $\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$. ) Then, which of the following statement(s) is (are) TRUE?","For any positive integer $n$, define $f_{n}:(0, \infty) \rightarrow \mathbb{R}$ as

\[
f_{n}(x)=\sum_{j=1}^{n} \tan ^{-1}\left(\frac{1}{1+(x+j)(x+j-1)}\right) \text { for all } x \in(0, \infty)
\]

(Here, the inverse trigonometric function $\tan ^{-1} x$ assumes values in $\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$. ) Then, which of the following statement(s) is (are) TRUE?

(A) $\sum_{j=1}^{5} \tan ^{2}\left(f_{j}(0)\right)=55$

(B) $\sum_{j=1}^{10}\left(1+f_{j}^{\prime}(0)\right) \sec ^{2}\left(f_{j}(0)\right)=10$

(C) For any fixed positive integer $n, \lim _{x \rightarrow \infty} \tan \left(f_{n}(x)\right)=\frac{1}{n}$

(D) For any fixed positive integer $n$, $\lim _{x \rightarrow \infty} \sec ^{2}\left(f_{n}(x)\right)=1$","{""A"": ""$\\sum_{j=1}^{5} \\tan ^{2}\\left(f_{j}(0)\\right)=55$"", ""B"": ""$\\sum_{j=1}^{10}\\left(1+f_{j}^{\\prime}(0)\\right) \\sec ^{2}\\left(f_{j}(0)\\right)=10$"", ""C"": ""For any fixed positive integer $n, \\lim _{x \\rightarrow \\infty} \\tan \\left(f_{n}(x)\\right)=\\frac{1}{n}$"", ""D"": ""For any fixed positive integer $n$, $\\lim _{x \\rightarrow \\infty} \\sec ^{2}\\left(f_{n}(x)\\right)=1$""}",no
66,JEE Adv 2018 Paper 2,MCQ(multiple),ACD,"Let $s, t, r$ be non-zero complex numbers and $L$ be the set of solutions $z=x+i y$ $(x, y \in \mathbb{R}, i=\sqrt{-1})$ of the equation $s z+t \bar{z}+r=0$, where $\bar{z}=x-i y$. Then, which of the following statement(s) is (are) TRUE?","Let $s, t, r$ be non-zero complex numbers and $L$ be the set of solutions $z=x+i y$ $(x, y \in \mathbb{R}, i=\sqrt{-1})$ of the equation $s z+t \bar{z}+r=0$, where $\bar{z}=x-i y$. Then, which of the following statement(s) is (are) TRUE?

(A) If $L$ has exactly one element, then $|s| \neq|t|$

(B) If $|s|=|t|$, then $L$ has infinitely many elements

(C) The number of elements in $L \cap\{z:|z-1+i|=5\}$ is at most 2

(D) If $L$ has more than one element, then $L$ has infinitely many elements","{""A"": ""If $L$ has exactly one element, then $|s| \\neq|t|$"", ""B"": ""If $|s|=|t|$, then $L$ has infinitely many elements"", ""C"": ""The number of elements in $L \\cap\\{z:|z-1+i|=5\\}$ is at most 2"", ""D"": ""If $L$ has more than one element, then $L$ has infinitely many elements""}",no
67,JEE Adv 2018 Paper 2,Numeric,2,"What is the value of the integral

\[
\int_{0}^{\frac{1}{2}} \frac{1+\sqrt{3}}{\left((x+1)^{2}(1-x)^{6}\right)^{\frac{1}{4}}} d x
\]?","What is the value of the integral

\[
\int_{0}^{\frac{1}{2}} \frac{1+\sqrt{3}}{\left((x+1)^{2}(1-x)^{6}\right)^{\frac{1}{4}}} d x
\]?",,no
68,JEE Adv 2018 Paper 2,Numeric,4,"Let $P$ be a matrix of order $3 \times 3$ such that all the entries in $P$ are from the set $\{-1,0,1\}$. Then, what is the maximum possible value of the determinant of $P$?","Let $P$ be a matrix of order $3 \times 3$ such that all the entries in $P$ are from the set $\{-1,0,1\}$. Then, what is the maximum possible value of the determinant of $P$?",,no
69,JEE Adv 2018 Paper 2,Numeric,119,"Let $X$ be a set with exactly 5 elements and $Y$ be a set with exactly 7 elements. If $\alpha$ is the number of one-one functions from $X$ to $Y$ and $\beta$ is the number of onto functions from $Y$ to $X$, then what is the value of $\frac{1}{5 !}(\beta-\alpha)$?","Let $X$ be a set with exactly 5 elements and $Y$ be a set with exactly 7 elements. If $\alpha$ is the number of one-one functions from $X$ to $Y$ and $\beta$ is the number of onto functions from $Y$ to $X$, then what is the value of $\frac{1}{5 !}(\beta-\alpha)$?",,no
70,JEE Adv 2018 Paper 2,Numeric,0.4,"Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function with $f(0)=0$. If $y=f(x)$ satisfies the differential equation

\[
\frac{d y}{d x}=(2+5 y)(5 y-2)
\]

then what is the value of $\lim _{x \rightarrow-\infty} f(x)$?","Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function with $f(0)=0$. If $y=f(x)$ satisfies the differential equation

\[
\frac{d y}{d x}=(2+5 y)(5 y-2)
\]

then what is the value of $\lim _{x \rightarrow-\infty} f(x)$?",,no
71,JEE Adv 2018 Paper 2,Numeric,2,"Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function with $f(0)=1$ and satisfying the equation

\[
f(x+y)=f(x) f^{\prime}(y)+f^{\prime}(x) f(y) \text { for all } x, y \in \mathbb{R} .
\]

Then, the value of $\log _{e}(f(4))$ is","Let $f: \mathbb{R} \rightarrow \mathbb{R}$ be a differentiable function with $f(0)=1$ and satisfying the equation

\[
f(x+y)=f(x) f^{\prime}(y)+f^{\prime}(x) f(y) \text { for all } x, y \in \mathbb{R} .
\]

Then, the value of $\log _{e}(f(4))$ is",,no
72,JEE Adv 2018 Paper 2,Numeric,8,"Let $P$ be a point in the first octant, whose image $Q$ in the plane $x+y=3$ (that is, the line segment $P Q$ is perpendicular to the plane $x+y=3$ and the mid-point of $P Q$ lies in the plane $x+y=3$ ) lies on the $z$-axis. Let the distance of $P$ from the $x$-axis be 5 . If $R$ is the image of $P$ in the $x y$-plane, then what is the length of $P R$?","Let $P$ be a point in the first octant, whose image $Q$ in the plane $x+y=3$ (that is, the line segment $P Q$ is perpendicular to the plane $x+y=3$ and the mid-point of $P Q$ lies in the plane $x+y=3$ ) lies on the $z$-axis. Let the distance of $P$ from the $x$-axis be 5 . If $R$ is the image of $P$ in the $x y$-plane, then what is the length of $P R$?",,no
73,JEE Adv 2018 Paper 2,Numeric,0.5,"Consider the cube in the first octant with sides $O P, O Q$ and $O R$ of length 1 , along the $x$-axis, $y$-axis and $z$-axis, respectively, where $O(0,0,0)$ is the origin. Let $S\left(\frac{1}{2}, \frac{1}{2}, \frac{1}{2}\right)$ be the centre of the cube and $T$ be the vertex of the cube opposite to the origin $O$ such that $S$ lies on the diagonal $O T$. If $\vec{p}=\overrightarrow{S P}, \vec{q}=\overrightarrow{S Q}, \vec{r}=\overrightarrow{S R}$ and $\vec{t}=\overrightarrow{S T}$, then what is the value of $|(\vec{p} \times \vec{q}) \times(\vec{r} \times \vec{t})|$?","Consider the cube in the first octant with sides $O P, O Q$ and $O R$ of length 1 , along the $x$-axis, $y$-axis and $z$-axis, respectively, where $O(0,0,0)$ is the origin. Let $S\left(\frac{1}{2}, \frac{1}{2}, \frac{1}{2}\right)$ be the centre of the cube and $T$ be the vertex of the cube opposite to the origin $O$ such that $S$ lies on the diagonal $O T$. If $\vec{p}=\overrightarrow{S P}, \vec{q}=\overrightarrow{S Q}, \vec{r}=\overrightarrow{S R}$ and $\vec{t}=\overrightarrow{S T}$, then what is the value of $|(\vec{p} \times \vec{q}) \times(\vec{r} \times \vec{t})|$?",,no
74,JEE Adv 2018 Paper 2,Numeric,646,"Let

\[
X=\left({ }^{10} C_{1}\right)^{2}+2\left({ }^{10} C_{2}\right)^{2}+3\left({ }^{10} C_{3}\right)^{2}+\cdots+10\left({ }^{10} C_{10}\right)^{2}
\]

where ${ }^{10} C_{r}, r \in\{1,2, \cdots, 10\}$ denote binomial coefficients. Then, what is the value of $\frac{1}{1430} X$?","Let

\[
X=\left({ }^{10} C_{1}\right)^{2}+2\left({ }^{10} C_{2}\right)^{2}+3\left({ }^{10} C_{3}\right)^{2}+\cdots+10\left({ }^{10} C_{10}\right)^{2}
\]

where ${ }^{10} C_{r}, r \in\{1,2, \cdots, 10\}$ denote binomial coefficients. Then, what is the value of $\frac{1}{1430} X$?",,no
75,JEE Adv 2019 Paper 1,MCQ,A,"Let $S$ be the set of all complex numbers $Z$ satisfying $|z-2+i| \geq \sqrt{5}$. If the complex number $Z_{0}$ is such that $\frac{1}{\left|Z_{0}-1\right|}$ is the maximum of the set $\left\{\frac{1}{|z-1|}: z \in S\right\}$, then the principal argument of $\frac{4-z_{0}-\overline{z_{0}}}{Z_{0}-\overline{z_{0}}+2 i}$ is","Let $S$ be the set of all complex numbers $Z$ satisfying $|z-2+i| \geq \sqrt{5}$. If the complex number $Z_{0}$ is such that $\frac{1}{\left|Z_{0}-1\right|}$ is the maximum of the set $\left\{\frac{1}{|z-1|}: z \in S\right\}$, then the principal argument of $\frac{4-z_{0}-\overline{z_{0}}}{Z_{0}-\overline{z_{0}}+2 i}$ is

(A) $-\frac{\pi}{2}$

(B) $\frac{\pi}{4}$

(C) $\frac{\pi}{2}$

(D) $\frac{3 \pi}{4}$","{""A"": ""$-\\frac{\\pi}{2}$"", ""B"": ""$\\frac{\\pi}{4}$"", ""C"": ""$\\frac{\\pi}{2}$"", ""D"": ""$\\frac{3 \\pi}{4}$""}",no
76,JEE Adv 2019 Paper 1,MCQ,C,"Let

\[
M=\left[\begin{array}{cc}

\sin ^{4} \theta & -1-\sin ^{2} \theta \\

1+\cos ^{2} \theta & \cos ^{4} \theta

\end{array}\right]=\alpha I+\beta M^{-1}
\]

where $\alpha=\alpha(\theta)$ and $\beta=\beta(\theta)$ are real numbers, and $I$ is the $2 \times 2$ identity matrix. If

$\alpha^{*}$ is the minimum of the set $\{\alpha(\theta): \theta \in[0,2 \pi)\}$ and

$\beta^{*}$ is the minimum of the set $\{\beta(\theta): \theta \in[0,2 \pi)\}$

then the value of $\alpha^{*}+\beta^{*}$ is","Let

\[
M=\left[\begin{array}{cc}

\sin ^{4} \theta & -1-\sin ^{2} \theta \\

1+\cos ^{2} \theta & \cos ^{4} \theta

\end{array}\right]=\alpha I+\beta M^{-1}
\]

where $\alpha=\alpha(\theta)$ and $\beta=\beta(\theta)$ are real numbers, and $I$ is the $2 \times 2$ identity matrix. If

$\alpha^{*}$ is the minimum of the set $\{\alpha(\theta): \theta \in[0,2 \pi)\}$ and

$\beta^{*}$ is the minimum of the set $\{\beta(\theta): \theta \in[0,2 \pi)\}$

then the value of $\alpha^{*}+\beta^{*}$ is

(A) $-\frac{37}{16}$

(B) $-\frac{31}{16}$

(C) $-\frac{29}{16}$

(D) $-\frac{17}{16}$","{""A"": ""$-\\frac{37}{16}$"", ""B"": ""$-\\frac{31}{16}$"", ""C"": ""$-\\frac{29}{16}$"", ""D"": ""$-\\frac{17}{16}$""}",no
77,JEE Adv 2019 Paper 1,MCQ,B,"A line $y=m x+1$ intersects the circle $(x-3)^{2}+(y+2)^{2}=25$ at the points $P$ and $Q$. If the midpoint of the line segment $P Q$ has $x$-coordinate $-\frac{3}{5}$, then which one of the following options is correct?","A line $y=m x+1$ intersects the circle $(x-3)^{2}+(y+2)^{2}=25$ at the points $P$ and $Q$. If the midpoint of the line segment $P Q$ has $x$-coordinate $-\frac{3}{5}$, then which one of the following options is correct?

(A) $-3 \leq m<-1$

(B) $2 \leq m<4$

(C) $4 \leq m<6$

(D) $6 \leq m<8$","{""A"": ""$-3 \\leq m<-1$"", ""B"": ""$2 \\leq m<4$"", ""C"": ""$4 \\leq m<6$"", ""D"": ""$6 \\leq m<8$""}",no
78,JEE Adv 2019 Paper 1,MCQ,A,"The area of the region $\left\{(x, y): x y \leq 8,1 \leq y \leq x^{2}\right\}$ is","The area of the region $\left\{(x, y): x y \leq 8,1 \leq y \leq x^{2}\right\}$ is

(A) $16 \log _{e} 2-\frac{14}{3}$

(B) $8 \log _{e} 2-\frac{14}{3}$

(C) $16 \log _{e} 2-6$

(D) $8 \log _{e} 2-\frac{7}{3}$","{""A"": ""$16 \\log _{e} 2-\\frac{14}{3}$"", ""B"": ""$8 \\log _{e} 2-\\frac{14}{3}$"", ""C"": ""$16 \\log _{e} 2-6$"", ""D"": ""$8 \\log _{e} 2-\\frac{7}{3}$""}",no
79,JEE Adv 2019 Paper 1,MCQ(multiple),ABD,"Let

\[
M=\left[\begin{array}{lll}

0 & 1 & a \\

1 & 2 & 3 \\

3 & b & 1

\end{array}\right] \quad \text { and adj } M=\left[\begin{array}{rrr}

-1 & 1 & -1 \\

8 & -6 & 2 \\

-5 & 3 & -1

\end{array}\right]
\]

where $a$ and $b$ are real numbers. Which of the following options is/are correct?","Let

\[
M=\left[\begin{array}{lll}

0 & 1 & a \\

1 & 2 & 3 \\

3 & b & 1

\end{array}\right] \quad \text { and adj } M=\left[\begin{array}{rrr}

-1 & 1 & -1 \\

8 & -6 & 2 \\

-5 & 3 & -1

\end{array}\right]
\]

where $a$ and $b$ are real numbers. Which of the following options is/are correct?

(A) $a+b=3$

(B) $(\operatorname{adj} M)^{-1}+\operatorname{adj} M^{-1}=-M$

(C) $\operatorname{det}\left(\operatorname{adj} M^{2}\right)=81$

(D) If $M\left[\begin{array}{l}\alpha \\ \beta \\ \gamma\end{array}\right]=\left[\begin{array}{l}1 \\ 2 \\ 3\end{array}\right]$, then $\alpha-\beta+\gamma=3$","{""A"": ""$a+b=3$"", ""B"": ""$(\\operatorname{adj} M)^{-1}+\\operatorname{adj} M^{-1}=-M$"", ""C"": ""$\\operatorname{det}\\left(\\operatorname{adj} M^{2}\\right)=81$"", ""D"": ""If $M\\left[\\begin{array}{l}\\alpha \\\\ \\beta \\\\ \\gamma\\end{array}\\right]=\\left[\\begin{array}{l}1 \\\\ 2 \\\\ 3\\end{array}\\right]$, then $\\alpha-\\beta+\\gamma=3$""}",no
80,JEE Adv 2019 Paper 1,MCQ(multiple),AB,"There are three bags $B_{1}, B_{2}$ and $B_{3}$. The bag $B_{1}$ contains 5 red and 5 green balls, $B_{2}$ contains 3 red and 5 green balls, and $B_{3}$ contains 5 red and 3 green balls. Bags $B_{1}, B_{2}$ and $B_{3}$ have probabilities $\frac{3}{10}, \frac{3}{10}$ and $\frac{4}{10}$ respectively of being chosen. A bag is selected at random and a ball is chosen at random from the bag. Then which of the following options is/are correct?","There are three bags $B_{1}, B_{2}$ and $B_{3}$. The bag $B_{1}$ contains 5 red and 5 green balls, $B_{2}$ contains 3 red and 5 green balls, and $B_{3}$ contains 5 red and 3 green balls. Bags $B_{1}, B_{2}$ and $B_{3}$ have probabilities $\frac{3}{10}, \frac{3}{10}$ and $\frac{4}{10}$ respectively of being chosen. A bag is selected at random and a ball is chosen at random from the bag. Then which of the following options is/are correct?

(A) Probability that the chosen ball is green, given that the selected bag is $B_{3}$, equals $\frac{3}{8}$

(B) Probability that the chosen ball is green equals $\frac{39}{80}$

(C) Probability that the selected bag is $B_{3}$, given that the chosen ball is green, equals $\frac{5}{13}$

(D) Probability that the selected bag is $B_{3}$ and the chosen ball is green equals $\frac{3}{10}$","{""A"": ""Probability that the chosen ball is green, given that the selected bag is $B_{3}$, equals $\\frac{3}{8}$"", ""B"": ""Probability that the chosen ball is green equals $\\frac{39}{80}$"", ""C"": ""Probability that the selected bag is $B_{3}$, given that the chosen ball is green, equals $\\frac{5}{13}$"", ""D"": ""Probability that the selected bag is $B_{3}$ and the chosen ball is green equals $\\frac{3}{10}$""}",no
81,JEE Adv 2019 Paper 1,MCQ(multiple),ACD,"In a non-right-angled triangle $\triangle P Q R$, let $p, q, r$ denote the lengths of the sides opposite to the angles at $P, Q, R$ respectively. The median from $R$ meets the side $P Q$ at $S$, the perpendicular from $P$ meets the side $Q R$ at $E$, and $R S$ and $P E$ intersect at $O$. If $p=\sqrt{3}, q=1$, and the radius of the circumcircle of the $\triangle P Q R$ equals 1 , then which of the following options is/are correct?","In a non-right-angled triangle $\triangle P Q R$, let $p, q, r$ denote the lengths of the sides opposite to the angles at $P, Q, R$ respectively. The median from $R$ meets the side $P Q$ at $S$, the perpendicular from $P$ meets the side $Q R$ at $E$, and $R S$ and $P E$ intersect at $O$. If $p=\sqrt{3}, q=1$, and the radius of the circumcircle of the $\triangle P Q R$ equals 1 , then which of the following options is/are correct?

(A) Length of $R S=\frac{\sqrt{7}}{2}$

(B) Area of $\triangle S O E=\frac{\sqrt{3}}{12}$

(C) Length of $O E=\frac{1}{6}$

(D) Radius of incircle of $\triangle P Q R=\frac{\sqrt{3}}{2}(2-\sqrt{3})$","{""A"": ""Length of $R S=\\frac{\\sqrt{7}}{2}$"", ""B"": ""Area of $\\triangle S O E=\\frac{\\sqrt{3}}{12}$"", ""C"": ""Length of $O E=\\frac{1}{6}$"", ""D"": ""Radius of incircle of $\\triangle P Q R=\\frac{\\sqrt{3}}{2}(2-\\sqrt{3})$""}",no
82,JEE Adv 2019 Paper 1,MCQ(multiple),BC,"Define the collections $\left\{E_{1}, E_{2}, E_{3}, \ldots\right\}$ of ellipses and $\left\{R_{1}, R_{2}, R_{3}, \ldots\right\}$ of rectangles as follows:

$E_{1}: \frac{x^{2}}{9}+\frac{y^{2}}{4}=1$

$R_{1}$ : rectangle of largest area, with sides parallel to the axes, inscribed in $E_{1}$;

$E_{n}:$ ellipse $\frac{x^{2}}{a_{n}^{2}}+\frac{y^{2}}{b_{n}^{2}}=1$ of largest area inscribed in $R_{n-1}, n>1$;

$R_{n}:$ rectangle of largest area, with sides parallel to the axes, inscribed in $E_{n}, n>1$.

Then which of the following options is/are correct?","Define the collections $\left\{E_{1}, E_{2}, E_{3}, \ldots\right\}$ of ellipses and $\left\{R_{1}, R_{2}, R_{3}, \ldots\right\}$ of rectangles as follows:

$E_{1}: \frac{x^{2}}{9}+\frac{y^{2}}{4}=1$

$R_{1}$ : rectangle of largest area, with sides parallel to the axes, inscribed in $E_{1}$;

$E_{n}:$ ellipse $\frac{x^{2}}{a_{n}^{2}}+\frac{y^{2}}{b_{n}^{2}}=1$ of largest area inscribed in $R_{n-1}, n>1$;

$R_{n}:$ rectangle of largest area, with sides parallel to the axes, inscribed in $E_{n}, n>1$.

Then which of the following options is/are correct?

(A) The eccentricities of $E_{18}$ and $E_{19}$ are NOT equal

(B) $\quad \sum_{n=1}^{N}\left(\right.$ area of $\left.R_{n}\right)<24$, for each positive integer $N$

(C) The length of latus rectum of $E_{9}$ is $\frac{1}{6}$

(D) The distance of a focus from the centre in $E_{9}$ is $\frac{\sqrt{5}}{32}$","{""A"": ""The eccentricities of $E_{18}$ and $E_{19}$ are NOT equal"", ""B"": ""$\\quad \\sum_{n=1}^{N}\\left(\\right.$ area of $\\left.R_{n}\\right)<24$, for each positive integer $N$"", ""C"": ""The length of latus rectum of $E_{9}$ is $\\frac{1}{6}$"", ""D"": ""The distance of a focus from the centre in $E_{9}$ is $\\frac{\\sqrt{5}}{32}$""}",no
83,JEE Adv 2019 Paper 1,MCQ(multiple),AB,"Let $\Gamma$ denote a curve $y=y(x)$ which is in the first quadrant and let the point $(1,0)$ lie on it. Let the tangent to $\Gamma$ at a point $P$ intersect the $y$-axis at $Y_{P}$. If $P Y_{P}$ has length 1 for each point $P$ on $\Gamma$, then which of the following options is/are correct?","Let $\Gamma$ denote a curve $y=y(x)$ which is in the first quadrant and let the point $(1,0)$ lie on it. Let the tangent to $\Gamma$ at a point $P$ intersect the $y$-axis at $Y_{P}$. If $P Y_{P}$ has length 1 for each point $P$ on $\Gamma$, then which of the following options is/are correct?

(A) $y=\log _{e}\left(\frac{1+\sqrt{1-x^{2}}}{x}\right)-\sqrt{1-x^{2}}$

(B) $x y^{\prime}+\sqrt{1-x^{2}}=0$

(C) $y=-\log _{e}\left(\frac{1+\sqrt{1-x^{2}}}{x}\right)+\sqrt{1-x^{2}}$

(D) $x y^{\prime}-\sqrt{1-x^{2}}=0$","{""A"": ""$y=\\log _{e}\\left(\\frac{1+\\sqrt{1-x^{2}}}{x}\\right)-\\sqrt{1-x^{2}}$"", ""B"": ""$x y^{\\prime}+\\sqrt{1-x^{2}}=0$"", ""C"": ""$y=-\\log _{e}\\left(\\frac{1+\\sqrt{1-x^{2}}}{x}\\right)+\\sqrt{1-x^{2}}$"", ""D"": ""$x y^{\\prime}-\\sqrt{1-x^{2}}=0$""}",no
84,JEE Adv 2019 Paper 1,MCQ(multiple),ABC,"Let $L_{1}$ and $L_{2}$ denote the lines

\[
\vec{r}=\hat{i}+\lambda(-\hat{i}+2 \hat{j}+2 \hat{k}), \lambda \in \mathbb{R}
\]
 and 
\[ \vec{r}=\mu(2 \hat{i}-\hat{j}+2 \hat{k}), \mu \in \mathbb{R}
\]

respectively. If $L_{3}$ is a line which is perpendicular to both $L_{1}$ and $L_{2}$ and cuts both of them, then which of the following options describe(s) $L_{3}$ ?","Let $L_{1}$ and $L_{2}$ denote the lines

\[
\vec{r}=\hat{i}+\lambda(-\hat{i}+2 \hat{j}+2 \hat{k}), \lambda \in \mathbb{R}
\]
 and 
\[ \vec{r}=\mu(2 \hat{i}-\hat{j}+2 \hat{k}), \mu \in \mathbb{R}
\]

respectively. If $L_{3}$ is a line which is perpendicular to both $L_{1}$ and $L_{2}$ and cuts both of them, then which of the following options describe(s) $L_{3}$ ?

(A) $\vec{r}=\frac{2}{9}(4 \hat{i}+\hat{j}+\hat{k})+t(2 \hat{i}+2 \hat{j}-\hat{k}), t \in \mathbb{R}$

(B) $\vec{r}=\frac{2}{9}(2 \hat{i}-\hat{j}+2 \hat{k})+t(2 \hat{i}+2 \hat{j}-\hat{k}), t \in \mathbb{R}$

(C) $\vec{r}=\frac{1}{3}(2 \hat{i}+\hat{k})+t(2 \hat{i}+2 \hat{j}-\hat{k}), t \in \mathbb{R}$

(D) $\vec{r}=t(2 \hat{i}+2 \hat{j}-\hat{k}), t \in \mathbb{R}$","{""A"": ""$\\vec{r}=\\frac{2}{9}(4 \\hat{i}+\\hat{j}+\\hat{k})+t(2 \\hat{i}+2 \\hat{j}-\\hat{k}), t \\in \\mathbb{R}$"", ""B"": ""$\\vec{r}=\\frac{2}{9}(2 \\hat{i}-\\hat{j}+2 \\hat{k})+t(2 \\hat{i}+2 \\hat{j}-\\hat{k}), t \\in \\mathbb{R}$"", ""C"": ""$\\vec{r}=\\frac{1}{3}(2 \\hat{i}+\\hat{k})+t(2 \\hat{i}+2 \\hat{j}-\\hat{k}), t \\in \\mathbb{R}$"", ""D"": ""$\\vec{r}=t(2 \\hat{i}+2 \\hat{j}-\\hat{k}), t \\in \\mathbb{R}$""}",no
85,JEE Adv 2019 Paper 1,Numeric,3,"Let $\omega \neq 1$ be a cube root of unity. Then what is the minimum of the set

\[
\left\{\left|a+b \omega+c \omega^{2}\right|^{2}: a, b, c \text { distinct non-zero integers }\right\}
\] equal?","Let $\omega \neq 1$ be a cube root of unity. Then what is the minimum of the set

\[
\left\{\left|a+b \omega+c \omega^{2}\right|^{2}: a, b, c \text { distinct non-zero integers }\right\}
\] equal?",,no
86,JEE Adv 2019 Paper 1,Numeric,157,"Let $A P(a ; d)$ denote the set of all the terms of an infinite arithmetic progression with first term $a$ and common difference $d>0$. If

\[
A P(1 ; 3) \cap A P(2 ; 5) \cap A P(3 ; 7)=A P(a ; d)
\]

then what does $a+d$ equal?","Let $A P(a ; d)$ denote the set of all the terms of an infinite arithmetic progression with first term $a$ and common difference $d>0$. If

\[
A P(1 ; 3) \cap A P(2 ; 5) \cap A P(3 ; 7)=A P(a ; d)
\]

then what does $a+d$ equal?",,no
87,JEE Adv 2019 Paper 1,Numeric,0.5,"Let $S$ be the sample space of all $3 \times 3$ matrices with entries from the set $\{0,1\}$. Let the events $E_{1}$ and $E_{2}$ be given by

\[
\begin{aligned}

& E_{1}=\{A \in S: \operatorname{det} A=0\} \text { and } \\

& E_{2}=\{A \in S: \text { sum of entries of } A \text { is } 7\} .

\end{aligned}
\]

If a matrix is chosen at random from $S$, then what is the conditional probability $P\left(E_{1} \mid E_{2}\right)$?","Let $S$ be the sample space of all $3 \times 3$ matrices with entries from the set $\{0,1\}$. Let the events $E_{1}$ and $E_{2}$ be given by

\[
\begin{aligned}

& E_{1}=\{A \in S: \operatorname{det} A=0\} \text { and } \\

& E_{2}=\{A \in S: \text { sum of entries of } A \text { is } 7\} .

\end{aligned}
\]

If a matrix is chosen at random from $S$, then what is the conditional probability $P\left(E_{1} \mid E_{2}\right)$?",,no
88,JEE Adv 2019 Paper 1,Numeric,10,"Let the point $B$ be the reflection of the point $A(2,3)$ with respect to the line $8 x-6 y-23=0$. Let $\Gamma_{A}$ and $\Gamma_{B}$ be circles of radii 2 and 1 with centres $A$ and $B$ respectively. Let $T$ be a common tangent to the circles $\Gamma_{A}$ and $\Gamma_{B}$ such that both the circles are on the same side of $T$. If $C$ is the point of intersection of $T$ and the line passing through $A$ and $B$, then what is the length of the line segment $A C$?","Let the point $B$ be the reflection of the point $A(2,3)$ with respect to the line $8 x-6 y-23=0$. Let $\Gamma_{A}$ and $\Gamma_{B}$ be circles of radii 2 and 1 with centres $A$ and $B$ respectively. Let $T$ be a common tangent to the circles $\Gamma_{A}$ and $\Gamma_{B}$ such that both the circles are on the same side of $T$. If $C$ is the point of intersection of $T$ and the line passing through $A$ and $B$, then what is the length of the line segment $A C$?",,no
89,JEE Adv 2019 Paper 1,Numeric,4,"If

\[
I=\frac{2}{\pi} \int_{-\pi / 4}^{\pi / 4} \frac{d x}{\left(1+e^{\sin x}\right)(2-\cos 2 x)}
\]

then what does $27 I^{2}$ equal?","If

\[
I=\frac{2}{\pi} \int_{-\pi / 4}^{\pi / 4} \frac{d x}{\left(1+e^{\sin x}\right)(2-\cos 2 x)}
\]

then what does $27 I^{2}$ equal?",,no
90,JEE Adv 2019 Paper 1,Numeric,0.75,"Three lines are given by

\[
\vec{r} & =\lambda \hat{i}, \lambda \in \mathbb{R}
\]
\[\vec{r} & =\mu(\hat{i}+\hat{j}), \mu \in \mathbb{R}
\]
 \[
\vec{r} =v(\hat{i}+\hat{j}+\hat{k}), v \in \mathbb{R}.
\]

Let the lines cut the plane $x+y+z=1$ at the points $A, B$ and $C$ respectively. If the area of the triangle $A B C$ is $\triangle$ then what is the value of $(6 \Delta)^{2}$?","Three lines are given by

\[
\vec{r} & =\lambda \hat{i}, \lambda \in \mathbb{R}
\]
\[\vec{r} & =\mu(\hat{i}+\hat{j}), \mu \in \mathbb{R}
\]
 \[
\vec{r} =v(\hat{i}+\hat{j}+\hat{k}), v \in \mathbb{R}.
\]

Let the lines cut the plane $x+y+z=1$ at the points $A, B$ and $C$ respectively. If the area of the triangle $A B C$ is $\triangle$ then what is the value of $(6 \Delta)^{2}$?",,no
